Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Benartefa],Price [Benartefa],In stock [Benartefa],Low stock [Benartefa]
ROYALE-SOFT-SACH-13-WHT-STARRYNIGHT-808729,22483,ROYALE-SOFT-SACH-13-WHT-STARRYNIGHT-808729,Non Food,,N,,,,,,,2365,8998866808729,,,Y,Y,2600,1.000,
ROYALE-SOFT-SACH-13ML-BLUE/SUNNY-DAY-619004,22484,ROYALE-SOFT-SACH-13ML-BLUE/SUNNY-DAY-619004,Non Food,,N,,,,,,,2365,8998866619004,,,Y,Y,2600,1.000,
ROYALE-SOFT-SACH-13ML-PINK/SWEET-FLORAL-619035,22485,ROYALE-SOFT-SACH-13ML-PINK/SWEET-FLORAL-619035,Non Food,,N,,,,,,,2365,8998866619035,,,Y,Y,2600,0.000,
ROYCO-FDS-BEEF-MP(6*8GR),11313,ROYCO-FDS-BEEF-MP(6*8GR),food,,N,,,,,,,2855,8999999502423,,,Y,Y,3000,11.000,
ROYCO-FDS-CHICKEN-MP(6*8),11314,ROYCO-FDS-CHICKEN-MP(6*8),food,,N,,,,,,,2855,8999999502416,,,Y,Y,3000,0.000,
SAJIKU-TP-BB-240,11315,SAJIKU-TP-BB-240,food,,N,,,,,,,5050,8992770084064,,,Y,Y,5500,7.000,
SANIA-MG-REFIL-1LT,10118,SANIA-MG-REFIL-1LT,food,,N,,,,,,,19750,8993496001083,,,Y,Y,21400,8.000,
SANIA-MG-REFIL-2LT,10104,SANIA-MG-REFIL-2LT,food,,N,,,,,,,35000,8993496001076,,,Y,Y,37800,4.000,
SANITER-GEL-50ML,25020,SANITER-GEL-50ML,Non food,,N,,,,,,,9055,8992745610809,,,Y,Y,10100,6.000,
SANITER-HS-SPRAY-60ML,25021,SANITER-HS-SPRAY-60ML,Non food,,N,,,,,,,13325,8992745610816,,,Y,Y,14800,6.000,
saori-135/133-tiram,100001,SAORI-135/133-TIRAM,food,,N,,,,,,,9470,8992770096128,,,Y,Y,10000,5.000,0.000
SASA-TP-BB-225-ORI,11316,SASA-TP-BB-225-ORI,food,,N,,,,,,,5720,8992736925134,,,Y,Y,6000,9.000,
SASA-TP-BB-225-PEDAS,11317,SASA-TP-BB-225-PEDAS,food,,N,,,,,,,5720,8992736925158,,,Y,Y,6000,8.000,
SASA-TP-BB-250-BAKWAN,11318,SASA-TP-BB-250-BAKWAN,food,,N,,,,,,,5720,8992736225401,,,Y,Y,6000,4.000,
SDI-BINDER-CLIP-0224/155,33043,SDI-BINDER-CLIP-0224/155,atk,,N,,,,,,,1200,M0046688,,,Y,Y,1300,23.000,
SDI-BINDER-CLIP-0225/111,33044,SDI-BINDER-CLIP-0225/111,atk,,N,,,,,,,900,M0046687,,,Y,Y,1000,24.000,
SDI-ISI-CUTTER-1404,33045,SDI-ISI-CUTTER-1404,atk,,N,,,,,,,6000,M0046709,,,Y,Y,6600,11.000,
SDI-STAPLES-NO.3/1204-10,33046,SDI-STAPLES-NO.3/1204-10,atk,,N,,,,,,,4100,M0047005,,,Y,Y,4500,10.000,
SECRET-CLEAN-HAND-SANITIZER-LIQ-SPRAY-60ML,25023,SECRET-CLEAN-HAND-SANITIZER-LIQ-SPRAY-60ML,Non food,,N,,,,,,,11165,8997226224612,,,Y,Y,13300,7.000,
SEDAAP-KCP-135-MNS-608008,16016,SEDAAP-KCP-135-MNS-608008,food,,N,,,,,,,6750,8998866608008,,,Y,Y,7300,16.000,
SEDAAP-KCP-PCH-225-MNS-608046,16017,SEDAAP-KCP-PCH-225-MNS-608046,food,,N,,,,,,,8290,8998866608046,,,Y,Y,9000,19.000,
SEDAAP-KCP-PCH-70-MNS-608039,16018,SEDAAP-KCP-PCH-70-MNS-608039,food,,N,,,,,,,1615,8998866608039,,,Y,Y,1800,2.000,
SEDAAP-MIE-AYAM-BAWANG-200318,11016,SEDAAP-MIE-AYAM-BAWANG-200318,food,,N,,,,,,,2665,8998866200318,,,Y,Y,2900,24.000,
SEDAAP-MIE-AYAM-SPESIAL-20050,11010,SEDAAP-MIE-AYAM-SPESIAL-20050,food,,N,,,,,,,2435,8998866200509,,,Y,Y,2700,25.000,
SEDAAP-MIE-BASO-SPESIAL-20092,11015,SEDAAP-MIE-BASO-SPESIAL-20092,food,,N,,,,,,,2665,8998866200929,,,Y,Y,2900,3.000,
SEDAAP-MIE-CUP-AYAM-BAWANG-TELUR,11001,SEDAAP-MIE-CUP-AYAM-BAWANG-TELUR,food,,N,,,,,,,4150,8998866200820,,,Y,Y,4500,2.000,
SEDAAP-MIE-CUP-BASO-SPC-20085,11008,SEDAAP-MIE-CUP-BASO-SPC-20085,food,,N,,,,,,,4150,8998866200851,,,Y,Y,4500,1.000,
SEDAAP-MIE-CUP-SOTO-200837,11007,SEDAAP-MIE-CUP-SOTO-200837,food,,N,,,,,,,4150,8998866200837,,,Y,Y,4500,5.000,
SEDAAP-MIE-GORENG-200301,11009,SEDAAP-MIE-GORENG-200301,food,,N,,,,,,,2805,8998866200301,,,Y,Y,3100,16.000,
SEDAAP-MIE-GRG-AYAM-BAKAR-LIMAU,11006,SEDAAP-MIE-GRG-AYAM-BAKAR-LIMAU,food,,N,,,,,,,2805,8998866203227,,,Y,Y,3100,0.000,
SEDAAP-MIE-GRG-AYAM-KRISPI-20,11017,SEDAAP-MIE-GRG-AYAM-KRISPI-20,food,,N,,,,,,,2805,8998866200936,,,Y,Y,3100,23.000,
SEDAAP-MIE-GRG-KOREAN-SPICY-CHICKEN-202343,11004,SEDAAP-MIE-GRG-KOREAN-SPICY-CHICKEN-202343,food,,N,,,,,,,2805,8998866202343,,,Y,Y,3100,3.000,
SEDAAP-MIE-KARI-SPESIAL-20057,11011,SEDAAP-MIE-KARI-SPESIAL-20057,food,,N,,,,,,,2665,8998866200578,,,Y,Y,2900,-2.000,
SEDAAP-MIE-SAMBAL-GORENG-2004,11014,SEDAAP-MIE-SAMBAL-GORENG-2004,food,,N,,,,,,,2805,8998866200448,,,Y,Y,3100,28.000,
SEDAAP-MIE-SOTO-200325,11012,SEDAAP-MIE-SOTO-200325,food,,N,,,,,,,2665,8998866200325,,,Y,Y,2900,3.000,
SEGITIGA-BIRU-TERIGU,11319,SEGITIGA-BIRU-TERIGU,food,,N,,,,,,,14300,8993296201119,,,Y,Y,15500,6.000,
SELECTION-KPS-35,23004,SELECTION-KPS-35,Non food,,N,,,,,,,5165,8991038110354,,,Y,Y,5800,4.000,
SELECTION-KPS-50,23003,SELECTION-KPS-50,Non food,,N,,,,,,,7150,8991038110514,,,Y,Y,8000,7.000,
SENSODYNE-100-COOL-GEL,22522,SENSODYNE-100-COOL-GEL,Non food,,N,,,,,,,30645,4800318407739,,,Y,Y,34000,3.000,
SENSODYNE-100-DEEP-CLEAN,22523,SENSODYNE-100-DEEP-CLEAN,Non food,,N,,,,,,,30645,8991991594062,,,Y,Y,34000,2.000,
SENSODYNE-100-FRESHMINT,22524,SENSODYNE-100-FRESHMINT,Non food,,N,,,,,,,30645,8991991161332,,,Y,Y,34000,2.000,
SENSODYNE-100-GEN-WHITE,22525,SENSODYNE-100-GEN-WHITE,Non food,,N,,,,,,,33280,8992695724069,,,Y,Y,37000,2.000,
SENSODYNE-100-HERBAL,22526,SENSODYNE-100-HERBAL,Non food,,N,,,,,,,30645,8992695554062,,,Y,Y,34000,3.000,
SENSODYNE-100-MULTIAC/TTL-CARE,22527,SENSODYNE-100-MULTIAC/TTL-CARE,Non food,,N,,,,,,,28850,8992695744067,,,Y,Y,32000,2.000,
SENSODYNE-100-REG/ORI,22528,SENSODYNE-100-REG/ORI,Non food,,N,,,,,,,30645,9310042627501,,,Y,Y,34000,3.000,
SENSODYNE-100-REPAIR-PROTEC,22529,SENSODYNE-100-REPAIR-PROTEC,Non food,,N,,,,,,,40735,8992695754066,,,Y,Y,45300,2.000,
SGM-1+-EKSP-400-MADU,11224,SGM-1+-EKSP-400-MADU,food,,N,,,,,,,39045,8999099920684,,,Y,Y,42200,1.000,
SGM-1+-EKSP-400-VANILA,11225,SGM-1+-EKSP-400-VANILA,food,,N,,,,,,,39045,8999099920707,,,Y,Y,42200,1.000,
SGM-1+-EKSP-600-MADU,11227,SGM-1+-EKSP-600-MADU,food,,N,,,,,,,55910,8999099928611,,,Y,Y,60400,1.000,
SGM-1+-EKSP-600-VANILA,11226,SGM-1+-EKSP-600-VANILA,food,,N,,,,,,,55910,8999099928666,,,Y,Y,60400,1.000,
SGM-3+-400-COKLAT,11228,SGM-3+-400-COKLAT,food,,N,,,,,,,37645,8999099920769,,,Y,Y,40700,2.000,
SGM-3+-400-MADU,11229,SGM-3+-400-MADU,food,,N,,,,,,,37645,8999099920721,,,Y,Y,40700,1.000,
SGM-3+-400-VANILA,11230,SGM-3+-400-VANILA,food,,N,,,,,,,37645,8999099920745,,,Y,Y,40700,1.000,
SGM-3+-600-MADU,11231,SGM-3+-600-MADU,food,,N,,,,,,,52710,8999099928826,,,Y,Y,57000,1.000,
SGM-3+-600-VANILA,11232,SGM-3+-600-VANILA,food,,N,,,,,,,52710,8999099928833,,,Y,Y,57000,1.000,
SGM-5+-900-MADU,11233,SGM-5+-900-MADU,food,,N,,,,,,,78825,8999099923531,,,Y,Y,85200,1.000,
SHINZUI-BC-RF-200-HANA,22775,SHINZUI-BC-RF-200-HANA,Non food,,N,,,,,,,15555,8992946519383,,,Y,Y,17300,2.000,
SHINZUI-BC-RF-200-MYORI,22776,SHINZUI-BC-RF-200-MYORI,Non food,,N,,,,,,,15555,8992946522253,,,Y,Y,17300,1.000,
SHINZUI-BC-RF-200-SAKURA,22777,SHINZUI-BC-RF-200-SAKURA,Non food,,N,,,,,,,15555,8992946522260,,,Y,Y,17300,0.000,
SHINZUI-SOAP-87-HANA,41104,SHINZUI-SOAP-87-HANA,Non food,,N,,,,,,,4645,8992946512223,,,Y,Y,5000,4.000,
SHINZUI-SOAP-87-MTSU/REG,41105,SHINZUI-SOAP-87-MTSU/REG,Non food,,N,,,,,,,4645,8992946511790,,,Y,Y,5000,5.000,
SHINZUI-SOAP-87-MYORI,41106,SHINZUI-SOAP-87-MYORI,Non food,,N,,,,,,,4645,8992946521416,,,Y,Y,5000,2.000,
SHINZUI-SOAP-87-SAKURA,41107,SHINZUI-SOAP-87-SAKURA,Non food,,N,,,,,,,4645,8992946521409,,,Y,Y,5000,-4.000,
SHINZUI-SOAP-90-KENSHO,41108,SHINZUI-SOAP-90-KENSHO,Non food,,N,,,,,,,4645,8992946521836,,,Y,Y,5000,5.000,
SHINZUI-SOAP-KIREY-3*110GR,41109,SHINZUI-SOAP-KIREY-3*110GR,Non food,,N,,,,,,,15340,8992946530968,,,Y,Y,16600,4.000,
SHINZUI-SOAP-REG-3*110GR,41110,SHINZUI-SOAP-REG-3*110GR,Non food,,N,,,,,,,15340,8992946530944,,,Y,Y,16600,4.000,
